datapoint,description,source
index_size_segment_pre_event,Index size segment classification before the event.,methbooks/data/markdown/MSCI_Fundamental_Data_Methodology_20240625.md section 4.4 Changes in Business Structure
index_size_segment_post_event,Index size segment classification after the event.,methbooks/data/markdown/MSCI_Fundamental_Data_Methodology_20240625.md section 4.4 Changes in Business Structure
event_type_flag,Type of corporate event; drives whether fundamental data adjustments are applied.,methbooks/data/markdown/MSCI_Fundamental_Data_Methodology_20240625.md section 4 Fundamental Data Treatments for Corporate Events
post_event_annual_sales,Annual sales reported in the first fiscal year after the corporate event.,methbooks/data/markdown/MSCI_Fundamental_Data_Methodology_20240625.md section 2.2.1 Long-Term Historical Growth Trends
pre_event_annual_sales,Annual sales in the fiscal year before the corporate event.,methbooks/data/markdown/MSCI_Fundamental_Data_Methodology_20240625.md section 2.2.1 Long-Term Historical Growth Trends
acquired_company_trailing_12m_losses_usd,Trailing 12-month losses in USD of the acquired loss-making company at month-end before ex-date.,methbooks/data/markdown/MSCI_Fundamental_Data_Methodology_20240625.md section 4.4 Changes in Business Structure
acquired_company_was_standard_constituent,Boolean flag indicating whether the acquired company was a MSCI Standard Index constituent before acquisition.,methbooks/data/markdown/MSCI_Fundamental_Data_Methodology_20240625.md section 4.4 Changes in Business Structure
historical_earnings_non_ifrs,Pre-IFRS historical earnings used for 5-year EPS comparability adjustment.,methbooks/data/markdown/MSCI_Fundamental_Data_Methodology_20240625.md section Appendix I MSCI Treatment of IFRS
historical_earnings_ifrs,IFRS-reported historical earnings used to measure divergence from non-IFRS earnings.,methbooks/data/markdown/MSCI_Fundamental_Data_Methodology_20240625.md section Appendix I MSCI Treatment of IFRS
goodwill_amortization,Goodwill amortization charge added back to pre-IFRS earnings when IFRS divergence exceeds 10%.,methbooks/data/markdown/MSCI_Fundamental_Data_Methodology_20240625.md section Appendix I MSCI Treatment of IFRS
security_yield_correct,Correct security-level valuation yield after error correction.,methbooks/data/markdown/MSCI_Fundamental_Data_Methodology_20240625.md section Appendix III Correction Policy
security_yield_incorrect,Incorrect security-level valuation yield before error correction.,methbooks/data/markdown/MSCI_Fundamental_Data_Methodology_20240625.md section Appendix III Correction Policy
index_yield_correct,Correct index-level valuation yield after error correction.,methbooks/data/markdown/MSCI_Fundamental_Data_Methodology_20240625.md section Appendix III Correction Policy
index_yield_incorrect,Incorrect index-level valuation yield before error correction.,methbooks/data/markdown/MSCI_Fundamental_Data_Methodology_20240625.md section Appendix III Correction Policy
ratio_type,Type of valuation ratio; distinguishes book_value_yield from other yield types for correction thresholds.,methbooks/data/markdown/MSCI_Fundamental_Data_Methodology_20240625.md section Appendix III Correction Policy
