datapoint,description,source
is_stock_connect_trading_day,Flag indicating whether the Stock Connect programme is open for trading on the current date.,"meth-pipeline/MSCI_Corporate_Events_Methodology_20260210/2026-04-23T13-31-41Z/input/markdown.md section ""Appendix VII: Implementation for stock connect A-Share securities"""
is_market_neutral_event,"Flag for events that do not change market capitalisation (splits, consolidations, stock dividends, bonus issues).","meth-pipeline/MSCI_Corporate_Events_Methodology_20260210/2026-04-23T13-31-41Z/input/markdown.md section ""Appendix VII: Implementation for stock connect A-Share securities"""
trading_calendar_type,Trading calendar convention for the index series; determines PAF and NOS change effective date rules.,"meth-pipeline/MSCI_Corporate_Events_Methodology_20260210/2026-04-23T13-31-41Z/input/markdown.md section ""Appendix IV / Appendix IX"""
is_trading,Flag indicating whether the security traded on the relevant date.,"meth-pipeline/MSCI_Corporate_Events_Methodology_20260210/2026-04-23T13-31-41Z/input/markdown.md section ""2.1.2 Implementation price"""
is_tender_friendly,Flag for whether a tender offer is classified as friendly vs hostile.,"meth-pipeline/MSCI_Corporate_Events_Methodology_20260210/2026-04-23T13-31-41Z/input/markdown.md section ""2.2.3 Implementation timing"""
tender_offer_likely_success,Assessment flag for whether a friendly tender offer is likely to succeed.,"meth-pipeline/MSCI_Corporate_Events_Methodology_20260210/2026-04-23T13-31-41Z/input/markdown.md section ""2.2.3 Implementation timing"""
offer_type,Sub-type of partial tender / buyback / exchange offer controlling PAF treatment.,"meth-pipeline/MSCI_Corporate_Events_Methodology_20260210/2026-04-23T13-31-41Z/input/markdown.md section ""2.4 Partial tender offers and buyback offers"""
conversion_type,Classification of share class conversion controlling event-time vs Index Review implementation.,"meth-pipeline/MSCI_Corporate_Events_Methodology_20260210/2026-04-23T13-31-41Z/input/markdown.md section ""2.5.1 Mandatory conversions"""
share_class,Share class designation relevant to conversion events.,"meth-pipeline/MSCI_Corporate_Events_Methodology_20260210/2026-04-23T13-31-41Z/input/markdown.md section ""2.5.1 Mandatory conversions"""
consideration_type,M&A consideration mix controlling pro forma free float computation.,"meth-pipeline/MSCI_Corporate_Events_Methodology_20260210/2026-04-23T13-31-41Z/input/markdown.md section ""2.6 Pro Forma Float Calculation for M&As"""
is_extraordinary_distribution,Flag indicating a capital repayment deemed extraordinary relative to company dividend policy.,"meth-pipeline/MSCI_Corporate_Events_Methodology_20260210/2026-04-23T13-31-41Z/input/markdown.md section ""3.3 Capital Repayments"""
special_dividend_amount,Gross special cash dividend amount in price currency used to evaluate the 5% PAF trigger.,"meth-pipeline/MSCI_Corporate_Events_Methodology_20260210/2026-04-23T13-31-41Z/input/markdown.md section ""3.4 Special Cash Dividends"""
default_distribution_type,Default election for an optional dividend.,"meth-pipeline/MSCI_Corporate_Events_Methodology_20260210/2026-04-23T13-31-41Z/input/markdown.md section ""3.5 Optional Dividends"""
subscription_price,Rights issue subscription price used to classify discount vs premium rights issues.,"meth-pipeline/MSCI_Corporate_Events_Methodology_20260210/2026-04-23T13-31-41Z/input/markdown.md section ""3.6.1 Rights Issues: PAF treatment"""
shares_before,Shares outstanding prior to the event; appears in PAF and split/rights formulae.,"meth-pipeline/MSCI_Corporate_Events_Methodology_20260210/2026-04-23T13-31-41Z/input/markdown.md section ""Appendix I: PAF Formulas and Definitions"""
shares_issued,Shares newly issued in the event; appears in PAF formulae.,"meth-pipeline/MSCI_Corporate_Events_Methodology_20260210/2026-04-23T13-31-41Z/input/markdown.md section ""Appendix I: PAF Formulas and Definitions"""
shares_acquired,Shares acquired in a redemption or partial tender event.,"meth-pipeline/MSCI_Corporate_Events_Methodology_20260210/2026-04-23T13-31-41Z/input/markdown.md section ""3.7 Redemptions"""
rights_price,Market price of the rights line where available; if unavailable and intrinsic value <= 0 the lowest system price 0.00001 is used.,"meth-pipeline/MSCI_Corporate_Events_Methodology_20260210/2026-04-23T13-31-41Z/input/markdown.md section ""3.6.5 Highly Dilutive or Large Rights Issues"""
forthcoming_gross_dividend,Known forthcoming gross cash dividend used to adjust PAF when new shares are not entitled.,"meth-pipeline/MSCI_Corporate_Events_Methodology_20260210/2026-04-23T13-31-41Z/input/markdown.md section ""3.6.1 Rights Issues: PAF treatment"""
offer_price,Offer price paid per redeemed share used in redemption PAF formula.,"meth-pipeline/MSCI_Corporate_Events_Methodology_20260210/2026-04-23T13-31-41Z/input/markdown.md section ""3.7 Redemptions"""
is_fully_underwritten,Flag indicating a rights issue is fully underwritten.,"meth-pipeline/MSCI_Corporate_Events_Methodology_20260210/2026-04-23T13-31-41Z/input/markdown.md section ""3.6.3 Number of Shares, FIF and/or DIF Changes Following Rights"""
is_pending_index_review_action,"Flag indicating a security is scheduled for add, delete, or size-segment migration at the upcoming Index Review.","meth-pipeline/MSCI_Corporate_Events_Methodology_20260210/2026-04-23T13-31-41Z/input/markdown.md section ""4.4 Index Review Treatment"""
placement_investor_type,Investor type for share placements and debt-equity swaps controlling pro forma float assumptions.,"meth-pipeline/MSCI_Corporate_Events_Methodology_20260210/2026-04-23T13-31-41Z/input/markdown.md section ""4.5 Pro Forma Float Calculation for Share Placements and Offerings"""
is_price_limit_active,Flag indicating a price limit mechanism is active on the implementation date.,"meth-pipeline/MSCI_Corporate_Events_Methodology_20260210/2026-04-23T13-31-41Z/input/markdown.md section ""5.2 Price Limit"""
exchange_closing_time,Local exchange closing time used to decide the price-limit check time.,"meth-pipeline/MSCI_Corporate_Events_Methodology_20260210/2026-04-23T13-31-41Z/input/markdown.md section ""5.2 Price Limit"""
is_otc_price_available,Flag used in the bankruptcy deletion price hierarchy.,"meth-pipeline/MSCI_Corporate_Events_Methodology_20260210/2026-04-23T13-31-41Z/input/markdown.md section ""5.3 Bankruptcies"""
primary_exchange,Primary exchange identifier; relevant to delisting and country classification reviews.,"meth-pipeline/MSCI_Corporate_Events_Methodology_20260210/2026-04-23T13-31-41Z/input/markdown.md section ""5.4 Delistings from Primary Exchange"""
is_eligible_on_new_exchange,Flag indicating whether a delisted security remains eligible on an alternate listed exchange.,"meth-pipeline/MSCI_Corporate_Events_Methodology_20260210/2026-04-23T13-31-41Z/input/markdown.md section ""5.4 Delistings from Primary Exchange"""
gics_sector,GICS sector used in factors-of-continuation assessments for mergers and reverse spinoffs.,"meth-pipeline/MSCI_Corporate_Events_Methodology_20260210/2026-04-23T13-31-41Z/input/markdown.md section ""2.8.3 Reverse spinoffs"""
event_type,Sub-type of share-issuance event controlling section-4 implementation timing.,"meth-pipeline/MSCI_Corporate_Events_Methodology_20260210/2026-04-23T13-31-41Z/input/markdown.md section ""4.1 Implementation Timing"""
index_review_effective_date,Scheduled effective date of the next MSCI Quarterly Index Review; used to anchor the share-freeze window.,"meth-pipeline/MSCI_Corporate_Events_Methodology_20260210/2026-04-23T13-31-41Z/input/markdown.md section ""7 Share freeze"""
country_index_large_cap_cutoff,Country-index Large Cap Cutoff used to trigger Acknowledged announcements when event impact exceeds 1x multiple.,"meth-pipeline/MSCI_Corporate_Events_Methodology_20260210/2026-04-23T13-31-41Z/input/markdown.md section ""8 General Announcement Policy for Corporate Events"""
